,Title,Year,Rating,Link,Budget,Gross,Net,Date,Month
203,  And Soon the Darkness,2010,5.1,/title/tt1391034/,,177182.0,,2017-03-27,03
204,  Dylan Dog: Dead of Night,2010,5.1,/title/tt1013860/,20000000.0,5782515.0,-14217485.0,2011-04-29,04
205,  Hobo with a Shotgun,2011,6.1,/title/tt1640459/,3000000.0,748453.0,-2251547.0,2011-05-12,05
206,  Silent House,2011,5.2,/title/tt1767382/,2000000.0,16527747.0,14527747.0,2012-03-09,03
207,  Red State,2011,6.1,/title/tt0873886/,4000000.0,1874460.0,-2125540.0,2011-09-30,09
208,  The Woman (I),2011,6,/title/tt1714208/,,1449.0,,2011-08-18,08
209,  Take Shelter,2011,7.3,/title/tt1675192/,5000000.0,3741098.0,-1258902.0,2011-11-10,11
210,  The Rite,2011,6,/title/tt1161864/,37000000.0,96560591.0,59560591.0,2011-01-28,01
211,  Quarantine 2: Terminal,2011,5.2,/title/tt1699231/,4000000.0,,,2011-06-17,06
212,  Husk,2011,5.1,/title/tt1504403/,382262.0,,,2011-11-24,11
213,  Seconds Apart,2011,5.6,/title/tt1601475/,,1137.0,,2011-07-07,07
214,  The Roommate (I),2011,4.8,/title/tt1265990/,16000000.0,40492652.0,24492652.0,2011-02-04,02
215,  The Resident,2011,5.3,/title/tt1334102/,20000000.0,6742156.0,-13257844.0,2011-03-11,03
216,  Absentia (I),2011,5.8,/title/tt1610996/,70000.0,8555.0,-61445.0,2013-04-11,04
217,  Red Riding Hood,2011,5.4,/title/tt1486185/,42000000.0,90260376.0,48260376.0,2011-03-11,03
218,  The Innkeepers,2011,5.5,/title/tt1594562/,750000.0,1178831.0,428831.0,2011-03-12,03
219,  Kill List,2011,6.4,/title/tt1788391/,605000.0,450275.0,-154725.0,2011-09-02,09
220,  The Divide,2011,5.8,/title/tt1535616/,3000000.0,145676.0,-2854324.0,2012-04-20,04
221,  Detention,2011,5.6,/title/tt1701990/,10000000.0,,,2012-04-13,04
222,  Hellraiser: Revelations,2011,2.7,/title/tt1716747/,350000.0,,,2011-10-18,10
223,  Scream 4,2011,6.2,/title/tt1262416/,40000000.0,97231420.0,57231420.0,2011-04-15,04
224,  The Caller,2011,6,/title/tt1525890/,,229746.0,,2013-02-22,02
