,Unnamed: 0,Title,Year,Rating,Link,Budget,Gross,Net,Date,Month
143,218,  The Innkeepers,2011,5.5,/title/tt1594562/,750000.0,1178831.0,428831.0,2011-03-12,3.0
144,219,  Kill List,2011,6.4,/title/tt1788391/,605000.0,450275.0,-154725.0,2011-09-02,9.0
145,220,  The Divide,2011,5.8,/title/tt1535616/,3000000.0,145676.0,-2854324.0,2012-04-20,4.0
146,223,  Scream 4,2011,6.2,/title/tt1262416/,40000000.0,97231420.0,57231420.0,2011-04-15,4.0
147,225,  Grave Encounters,2011,6.1,/title/tt1703199/,75000.0,4055919.0,3980919.0,2011-09-09,9.0
148,226,  Priest,2011,5.7,/title/tt0822847/,60000000.0,78309505.0,18309505.0,2011-05-13,5.0
149,231,  The Skin I Live In,2011,7.6,/title/tt1189073/,10403030.56,33716389.0,23313358.44,2011-09-02,9.0
150,232,  The Tunnel (I),2011,5.8,/title/tt1735485/,135000.0,1532.0,-133468.0,2011-05-19,5.0
151,237,  Final Destination 5,2011,5.9,/title/tt1622979/,40000000.0,157887643.0,117887643.0,2011-08-12,8.0
152,238,  Fright Night,2011,6.4,/title/tt1438176/,30000000.0,41002607.0,11002607.0,2011-08-19,8.0
153,241,  Inbred,2011,5.3,/title/tt1723124/,1512500.0,24.0,-1512476.0,2012-09-21,9.0
154,242,  Shark Night,2011,4.0,/title/tt1633356/,25000000.0,41363927.0,16363927.0,2011-09-02,9.0
155,243,  Apollo 18,2011,5.2,/title/tt1772240/,5000000.0,26236153.0,21236153.0,2011-09-02,9.0
156,247,  You're Next,2011,6.6,/title/tt1853739/,1000000.0,26895481.0,25895481.0,2013-08-23,8.0
157,249,  Twixt,2011,4.7,/title/tt1756851/,7000000.0,647839.0,-6352161.0,2012-04-11,4.0
158,250,  Intruders (I),2011,5.4,/title/tt1634121/,10400000.0,5486559.0,-4913441.0,2011-10-07,10.0
159,251,  Lovely Molly,2011,5.3,/title/tt1707392/,1000000.0,638274.0,-361726.0,2012-06-29,6.0
160,252,  The Awakening (I),2011,6.4,/title/tt1687901/,3630000.0,6879667.0,3249667.0,2011-11-11,11.0
161,254,  The Hidden Face,2011,7.3,/title/tt1772250/,2600000.0,6318409.0,3718409.0,2011-09-16,9.0
162,256,  Sleep Tight,2011,7.2,/title/tt1437358/,5000000.0,8791590.0,3791590.0,2011-10-14,10.0
163,257,  The Monitor,2011,5.7,/title/tt1595833/,2500000.0,1417397.0,-1082603.0,2011-10-07,10.0
164,258,  The Thing (I),2011,6.2,/title/tt0905372/,38000000.0,31505287.0,-6494713.0,2011-10-14,10.0
165,260,  Paranormal Activity 3,2011,5.8,/title/tt1778304/,5000000.0,207039844.0,202039844.0,2011-10-21,10.0
166,261,  Beneath the Darkness,2011,4.5,/title/tt1781775/,7300000.0,23998.0,-7276002.0,2012-03-22,3.0
167,263,  The Cabin in the Woods,2011,7.0,/title/tt1259521/,30000000.0,70038838.0,40038838.0,2012-04-13,4.0
168,264,  The Darkest Hour,2011,4.9,/title/tt1093357/,30000000.0,64626786.0,34626786.0,2011-12-25,12.0
169,265,  The Devil Inside,2012,4.2,/title/tt1560985/,1000000.0,101758490.0,100758490.0,2012-01-06,1.0
170,267,  Elevator (V),2012,5.3,/title/tt1728975/,200000.0,14221.0,-185779.0,2012-01-20,1.0
171,268,  Underworld: Awakening,2012,6.3,/title/tt1496025/,70000000.0,160112671.0,90112671.0,2012-01-20,1.0
172,269,  The Pact (II),2012,5.7,/title/tt2040560/,400000.0,5664404.0,5264404.0,2012-06-08,6.0
173,272,  V/H/S,2012,5.8,/title/tt2105044/,242000.0,1944287.0,1702287.0,2012-09-06,9.0
174,273,  Grabbers,2012,6.3,/title/tt1525366/,4840000.0,427335.0,-4412665.0,2012-08-10,8.0
175,275,  The Woman in Black,2012,6.4,/title/tt1596365/,17000000.0,128955898.0,111955898.0,2012-02-03,2.0
176,276,  Thale,2012,5.5,/title/tt2112287/,1200000.0,296500.0,-903500.0,2012-02-17,2.0
177,278,  ATM (I),2012,4.7,/title/tt1603257/,3000000.0,921752.0,-2078248.0,2012-03-02,3.0
178,279,  [REC] 3: Genesis,2012,5.0,/title/tt1649444/,6400000.0,11019975.0,4619975.0,2012-03-30,3.0
179,281,  Sinister (I),2012,6.8,/title/tt1922777/,3000000.0,82515113.0,79515113.0,2012-10-12,10.0
180,283,  The Tall Man,2012,5.9,/title/tt1658837/,15600000.0,7462847.0,-8137153.0,2012-09-05,9.0
181,284,  In Their Skin,2012,5.3,/title/tt1790869/,4000000.0,106919.0,-3893081.0,2012-11-09,11.0
182,287,  Dark Shadows,2012,6.2,/title/tt1077368/,150000000.0,245527149.0,95527149.0,2012-05-11,5.0
183,288,  Piranha 3DD,2012,3.8,/title/tt1714203/,5000000.0,8518634.0,3518634.0,2012-05-11,5.0
184,289,  Antiviral,2012,5.7,/title/tt2099556/,2400000.0,61808.0,-2338192.0,2013-02-13,2.0
185,291,  Sightseers,2012,6.5,/title/tt2023690/,1573000.0,2122909.0,549909.0,2013-05-10,5.0
186,292,  Chernobyl Diaries,2012,5.0,/title/tt1991245/,1000000.0,38390020.0,37390020.0,2012-05-25,5.0
187,293,  Maniac,2012,6.1,/title/tt2103217/,6000000.0,2631275.0,-3368725.0,2013-01-02,1.0
188,294,  A Fantastic Fear of Everything,2012,5.8,/title/tt2006040/,1815000.0,96948.0,-1718052.0,2012-06-08,6.0
189,295,  Abraham Lincoln: Vampire Hunter,2012,5.9,/title/tt1611224/,69000000.0,116471580.0,47471580.0,2012-06-22,6.0
190,300,  Truth or Die (II),2012,5.6,/title/tt1838722/,1000000.0,2504058.0,1504058.0,2012-08-06,8.0
191,303,  The Apparition,2012,4.1,/title/tt1433822/,17000000.0,11350665.0,-5649335.0,2012-08-24,8.0
192,305,  Universal Soldier: Day of Reckoning,2012,5.0,/title/tt1659343/,10000000.0,1402307.0,-8597693.0,2012-10-25,10.0
193,308,  Vamps,2012,5.2,/title/tt1545106/,16000000.0,92748.0,-15907252.0,2012-11-02,11.0
194,310,  The Possession (I),2012,5.9,/title/tt0431021/,14000000.0,85446075.0,71446075.0,2012-08-31,8.0
195,311,  Resident Evil: Retribution,2012,5.3,/title/tt1855325/,65000000.0,240159255.0,175159255.0,2012-09-14,9.0
196,312,  Bait (III),2012,5.2,/title/tt1438173/,20400000.0,33492566.0,13092566.0,2012-09-20,9.0
197,313,  Hotel Transylvania,2012,7.0,/title/tt0837562/,85000000.0,358375603.0,273375603.0,2012-09-28,9.0
198,314,  No One Lives,2012,5.9,/title/tt1763264/,2900000.0,1048704.0,-1851296.0,2013-05-10,5.0
199,315,  Byzantium,2012,6.5,/title/tt1531901/,9680000.0,828284.0,-8851716.0,2013-05-31,5.0
200,316,  The Lords of Salem,2012,5.2,/title/tt1731697/,1500000.0,1544989.0,44989.0,2013-04-18,4.0
201,317,  Aftershock,2012,4.8,/title/tt1780762/,2000000.0,294696.0,-1705304.0,2014-06-12,6.0
202,320,  Frankenweenie,2012,6.9,/title/tt1142977/,39000000.0,84247681.0,45247681.0,2012-10-05,10.0
203,321,  House at the End of the Street,2012,5.5,/title/tt1582507/,10000000.0,44287131.0,34287131.0,2012-09-21,9.0
204,322,  The Collection (II),2012,6.1,/title/tt1748227/,7500000.0,9929706.0,2429706.0,2012-11-30,11.0
205,326,  Grave Encounters 2,2012,5.1,/title/tt2231554/,1400000.0,1552486.0,152486.0,2012-10-02,10.0
206,327,  Gallowwalkers,2012,3.6,/title/tt0829176/,17000000.0,141696.0,-16858304.0,2014-03-15,3.0
207,331,  Paranormal Activity 4,2012,4.6,/title/tt2109184/,5000000.0,142802657.0,137802657.0,2012-10-19,10.0
208,333,  Silent Hill: Revelation,2012,4.9,/title/tt0938330/,20000000.0,55362705.0,35362705.0,2012-10-26,10.0
209,335,  Silent Night (I),2012,5.2,/title/tt2347497/,5000000.0,130781.0,-4869219.0,2012-12-04,12.0
210,336,  Apartment 1303 3D,2012,2.5,/title/tt1540767/,5000000.0,3377891.0,-1622109.0,2013-07-25,7.0
211,337,  Texas Chainsaw,2013,4.8,/title/tt1572315/,20000000.0,47340586.0,27340586.0,2013-01-04,1.0
212,338,  A Haunted House,2013,5.0,/title/tt2243537/,2500000.0,60159584.0,57659584.0,2013-01-11,1.0
213,339,  Warm Bodies,2013,6.8,/title/tt1588173/,35000000.0,116980662.0,81980662.0,2013-02-01,2.0
214,340,  Hansel & Gretel: Witch Hunters,2013,6.1,/title/tt1428538/,50000000.0,226349749.0,176349749.0,2013-01-25,1.0
215,341,  Mama (I),2013,6.2,/title/tt2023587/,15000000.0,146428180.0,131428180.0,2013-01-18,1.0
216,346,  Hell Baby,2013,4.9,/title/tt2318527/,2500000.0,8785.0,-2491215.0,,
217,351,  The Haunting in Connecticut 2: Ghosts of Georgia,2013,5.3,/title/tt1457765/,9000000.0,5127434.0,-3872566.0,2013-02-01,2.0
218,353,  Dark Skies,2013,6.3,/title/tt2387433/,3500000.0,27858103.0,24358103.0,2013-02-22,2.0
219,355,  The Last Exorcism Part II,2013,4.0,/title/tt2034139/,5000000.0,25051865.0,20051865.0,2013-03-01,3.0
220,356,  Evil Dead,2013,6.5,/title/tt1288558/,17000000.0,97542952.0,80542952.0,2013-04-05,4.0
221,357,  Cheap Thrills (I),2013,6.7,/title/tt2389182/,200000.0,59424.0,-140576.0,2014-03-21,3.0
222,361,  The Call (II),2013,6.7,/title/tt1911644/,13000000.0,68572631.0,55572631.0,2013-03-15,3.0
